tag,MSE,R2,knr__n_neighbors,knr__weights,knr__metric,high_corr_features_remover__corr_threshold,pca__n_components
knr,115.81090179922836,0.898218535613111,5,distance,cosine,,
knr,122.9037624435577,0.8919849105237951,5,distance,euclidean,,
knr,102.91107429700284,0.9095556663418828,5,distance,cityblock,,
knr,122.82836374309043,0.8920511753574784,5,distance,nan_euclidean,,
knr,148.59198984332264,0.8694085782301034,5,uniform,cosine,,
knr,158.52901120480604,0.8606753366258807,5,uniform,euclidean,,
knr,125.68293026472784,0.8895424136066569,5,uniform,cityblock,,
knr,158.25330895629696,0.8609176400545913,5,uniform,nan_euclidean,,
knr,124.14714432226172,0.8908921530507032,15,distance,cosine,,
knr,138.37265015306104,0.8783899378653568,15,distance,euclidean,,
knr,115.48601368698732,0.898504066485525,15,distance,cityblock,,
knr,138.11850149153148,0.878613298728113,15,distance,nan_euclidean,,
knr,198.3273466786045,0.825698207514959,15,uniform,cosine,,
knr,202.4047981189508,0.8221147022307644,15,uniform,euclidean,,
knr,167.88830003731397,0.8524498405094273,15,uniform,cityblock,,
knr,201.9847154744585,0.822483895683675,15,uniform,nan_euclidean,,
knr,127.20845708578814,0.8882016904847683,25,distance,cosine,,
knr,152.04052788012552,0.8663777992108002,25,distance,euclidean,,
knr,127.88940286632622,0.8876032350921025,25,distance,cityblock,,
knr,152.01493572349403,0.8664002911104254,25,distance,nan_euclidean,,
knr,228.9655759663833,0.7987715210399887,25,uniform,cosine,,
knr,236.96404615052109,0.7917419927697769,25,uniform,euclidean,,
knr,199.39529711793168,0.8247596295579738,25,uniform,cityblock,,
knr,236.83954247111163,0.7918514139608304,25,uniform,nan_euclidean,,
knr,129.6134751780827,0.886088018459875,35,distance,cosine,,
knr,162.62226521356467,0.8570779431107071,35,distance,euclidean,,
knr,136.20342974446734,0.8802963769512673,35,distance,cityblock,,
knr,162.70098421179017,0.8570087602031398,35,distance,nan_euclidean,,
knr,250.8781940580201,0.779513417327232,35,uniform,cosine,,
knr,260.6411203649968,0.7709331807451179,35,uniform,euclidean,,
knr,215.3216712743933,0.810762590774627,35,uniform,cityblock,,
knr,260.788519221419,0.770803637919507,35,uniform,nan_euclidean,,
l2 + knr,115.81090182990746,0.8982185355861485,5,distance,cosine,,
l2 + knr,121.00667120976097,0.8936521864093254,5,distance,euclidean,,
l2 + knr,107.61131551328997,0.9054248165986116,5,distance,cityblock,,
l2 + knr,120.38204579818196,0.8942011441334781,5,distance,nan_euclidean,,
l2 + knr,148.59198984332264,0.8694085782301034,5,uniform,cosine,,
l2 + knr,149.11152420443025,0.8689519807314974,5,uniform,euclidean,,
l2 + knr,128.3501966315708,0.887198262300437,5,uniform,cityblock,,
l2 + knr,148.59198984332264,0.8694085782301034,5,uniform,nan_euclidean,,
l2 + knr,124.14714435627276,0.8908921530208124,15,distance,cosine,,
l2 + knr,141.0282607428051,0.8760560303448536,15,distance,euclidean,,
l2 + knr,120.7151730881758,0.8939083721847578,15,distance,cityblock,,
l2 + knr,141.06939998852343,0.8760198747445782,15,distance,nan_euclidean,,
l2 + knr,198.3273466786045,0.825698207514959,15,uniform,cosine,,
l2 + knr,198.6115927576314,0.8254483952630888,15,uniform,euclidean,,
l2 + knr,171.98214766962627,0.8488519252827943,15,uniform,cityblock,,
l2 + knr,198.3273466786045,0.825698207514959,15,uniform,nan_euclidean,,
l2 + knr,127.2084571266696,0.8882016904488392,25,distance,cosine,,
l2 + knr,153.01739545712198,0.8655192702558048,25,distance,euclidean,,
l2 + knr,134.5326488021107,0.8817647579787942,25,distance,cityblock,,
l2 + knr,153.20213728148286,0.8653569082231738,25,distance,nan_euclidean,,
l2 + knr,228.9655759663833,0.7987715210399887,25,uniform,cosine,,
l2 + knr,228.7537268160688,0.7989577065925848,25,uniform,euclidean,,
l2 + knr,201.866468320234,0.8225878182706644,25,uniform,cityblock,,
l2 + knr,228.9655759663833,0.7987715210399887,25,uniform,nan_euclidean,,
l2 + knr,129.6134752207985,0.8860880184223338,35,distance,cosine,,
l2 + knr,162.15340010062928,0.8574900094797024,35,distance,euclidean,,
l2 + knr,142.9454020720813,0.8743711332505486,35,distance,cityblock,,
l2 + knr,162.3507100623482,0.8573166018252426,35,distance,nan_euclidean,,
l2 + knr,250.8781940580201,0.779513417327232,35,uniform,cosine,,
l2 + knr,250.7038192975196,0.7796666681714973,35,uniform,euclidean,,
l2 + knr,216.7565485252832,0.8095015358519722,35,uniform,cityblock,,
l2 + knr,250.8781940580201,0.779513417327232,35,uniform,nan_euclidean,,
minmax + knr,94.85369745259692,0.9166369652662478,5,distance,cosine,,
minmax + knr,102.5320534157512,0.909888772290698,5,distance,euclidean,,
minmax + knr,95.24183683750216,0.9162958454375604,5,distance,cityblock,,
minmax + knr,102.51287020403072,0.9099056316307966,5,distance,nan_euclidean,,
minmax + knr,115.74280411053265,0.8982783838861936,5,uniform,cosine,,
minmax + knr,119.5430986836481,0.8949384604356034,5,uniform,euclidean,,
minmax + knr,109.6456218914335,0.9036369479354526,5,uniform,cityblock,,
minmax + knr,119.24019565565834,0.8952046695167611,5,uniform,nan_euclidean,,
minmax + knr,97.90216819833437,0.9139577890244496,15,distance,cosine,,
minmax + knr,112.89930175437358,0.900777421794552,15,distance,euclidean,,
minmax + knr,103.12190476943036,0.9093703760636128,15,distance,cityblock,,
minmax + knr,113.45259420413224,0.9002911556926934,15,distance,nan_euclidean,,
minmax + knr,158.53902882848791,0.8606665325461941,15,uniform,cosine,,
minmax + knr,158.74114252339928,0.8604889030871266,15,uniform,euclidean,,
minmax + knr,141.43047245622998,0.875702542922254,15,uniform,cityblock,,
minmax + knr,159.20058613368178,0.8600851168914295,15,uniform,nan_euclidean,,
minmax + knr,100.48903142550884,0.9116843007488218,25,distance,cosine,,
minmax + knr,122.001206038491,0.892778130429454,25,distance,euclidean,,
minmax + knr,111.50448833281372,0.9020032662564056,25,distance,cityblock,,
minmax + knr,122.42334691486538,0.8924071280807335,25,distance,nan_euclidean,,
minmax + knr,177.17145910435687,0.8442912517297798,25,uniform,cosine,,
minmax + knr,177.6790873010247,0.8438451180720823,25,uniform,euclidean,,
minmax + knr,163.56148348728993,0.8562525025883251,25,uniform,cityblock,,
minmax + knr,177.83414660511113,0.8437088427923674,25,uniform,nan_euclidean,,
minmax + knr,103.7208184488584,0.9088440153291184,35,distance,cosine,,
minmax + knr,131.573291026374,0.8843656164763939,35,distance,euclidean,,
minmax + knr,118.43032838127456,0.8959164287368793,35,distance,cityblock,,
minmax + knr,131.75543709828816,0.88420553574441,35,distance,nan_euclidean,,
minmax + knr,193.42214268843324,0.8300091906562661,35,uniform,cosine,,
minmax + knr,195.60402634269505,0.8280916223617236,35,uniform,euclidean,,
minmax + knr,176.54910114684574,0.8448382166813015,35,uniform,cityblock,,
minmax + knr,195.7343575528993,0.8279770795922277,35,uniform,nan_euclidean,,
high_corr_features_remover + minmax + knr,93.50393080491,0.917823219961167,5,distance,cosine,0.95,
high_corr_features_remover + minmax + knr,102.33651000035005,0.910060627399859,5,distance,euclidean,0.95,
high_corr_features_remover + minmax + knr,94.8692094843096,0.9166233323760898,5,distance,cityblock,0.95,
high_corr_features_remover + minmax + knr,102.18053150711891,0.9101977105173142,5,distance,nan_euclidean,0.95,
high_corr_features_remover + minmax + knr,114.78696817845504,0.8991184289887619,5,uniform,cosine,0.95,
high_corr_features_remover + minmax + knr,120.05346612642246,0.8944899193665509,5,uniform,euclidean,0.95,
high_corr_features_remover + minmax + knr,108.07529705021813,0.9050170422048082,5,uniform,cityblock,0.95,
high_corr_features_remover + minmax + knr,119.67117062648197,0.8948259032437847,5,uniform,nan_euclidean,0.95,
high_corr_features_remover + minmax + knr,97.56253889455331,0.9142562753271246,15,distance,cosine,0.95,
high_corr_features_remover + minmax + knr,113.65185042257492,0.90011603755281,15,distance,euclidean,0.95,
high_corr_features_remover + minmax + knr,101.69008223865488,0.9106287463177114,15,distance,cityblock,0.95,
high_corr_features_remover + minmax + knr,113.4771904190798,0.9002695390854755,15,distance,nan_euclidean,0.95,
high_corr_features_remover + minmax + knr,155.67647557129786,0.8631823135121981,15,uniform,cosine,0.95,
high_corr_features_remover + minmax + knr,158.4615920030179,0.8607345886045734,15,uniform,euclidean,0.95,
high_corr_features_remover + minmax + knr,137.68417355781628,0.878995011783023,15,uniform,cityblock,0.95,
high_corr_features_remover + minmax + knr,158.206766573869,0.8609585442507073,15,uniform,nan_euclidean,0.95,
high_corr_features_remover + minmax + knr,100.07276549489993,0.9120501398480216,25,distance,cosine,0.95,
high_corr_features_remover + minmax + knr,123.09768881146324,0.8918144765715332,25,distance,euclidean,0.95,
high_corr_features_remover + minmax + knr,110.11599367885329,0.9032235574118828,25,distance,cityblock,0.95,
high_corr_features_remover + minmax + knr,122.9666051336676,0.8919296806540158,25,distance,nan_euclidean,0.95,
high_corr_features_remover + minmax + knr,174.3069630267632,0.8468087401611661,25,uniform,cosine,0.95,
high_corr_features_remover + minmax + knr,177.64733092408946,0.8438730274527872,25,uniform,euclidean,0.95,
high_corr_features_remover + minmax + knr,159.55457414590643,0.8597740113072412,25,uniform,cityblock,0.95,
high_corr_features_remover + minmax + knr,177.52590187790835,0.8439797464744632,25,uniform,nan_euclidean,0.95,
high_corr_features_remover + minmax + knr,102.41253167319444,0.909993815061236,35,distance,cosine,0.95,
high_corr_features_remover + minmax + knr,130.62888752820737,0.8851956140804376,35,distance,euclidean,0.95,
high_corr_features_remover + minmax + knr,116.6336396209622,0.8974954649953922,35,distance,cityblock,0.95,
high_corr_features_remover + minmax + knr,130.61165883093932,0.8852107556777327,35,distance,nan_euclidean,0.95,
high_corr_features_remover + minmax + knr,187.1713953319339,0.8355027168232579,35,uniform,cosine,0.95,
high_corr_features_remover + minmax + knr,192.44223147151743,0.8308703945418876,35,uniform,euclidean,0.95,
high_corr_features_remover + minmax + knr,171.9125678794442,0.8489130761142484,35,uniform,cityblock,0.95,
high_corr_features_remover + minmax + knr,192.5038320057012,0.8308162563521418,35,uniform,nan_euclidean,0.95,
std + knr,97.94797593181008,0.9139175304812468,5,distance,cosine,,
std + knr,105.44679099843236,0.9073271286556016,5,distance,euclidean,,
std + knr,92.84891605234264,0.918398885634049,5,distance,cityblock,,
std + knr,105.8734968648541,0.9069521143238576,5,distance,nan_euclidean,,
std + knr,117.46440487202644,0.896765339398394,5,uniform,cosine,,
std + knr,121.0145960416541,0.8936452215987369,5,uniform,euclidean,,
std + knr,106.0690162621171,0.906780280323256,5,uniform,cityblock,,
std + knr,121.41399875038124,0.8932942028954649,5,uniform,nan_euclidean,,
std + knr,100.50515351977502,0.9116701316996398,15,distance,cosine,,
std + knr,116.69687054054312,0.8974398939266112,15,distance,euclidean,,
std + knr,103.60625537405976,0.9089447001293962,15,distance,cityblock,,
std + knr,116.9208656468495,0.89724303379012,15,distance,nan_euclidean,,
std + knr,150.6572154134501,0.8675935359538484,15,uniform,cosine,,
std + knr,155.45102615942844,0.8633804517783608,15,uniform,euclidean,,
std + knr,140.6559483563072,0.8763832404720386,15,uniform,cityblock,,
std + knr,155.98080563164496,0.8629148502706738,15,uniform,nan_euclidean,,
std + knr,104.58934466108413,0.9080807031679542,25,distance,cosine,,
std + knr,125.54282373194228,0.8896655475073134,25,distance,euclidean,,
std + knr,111.13812028564504,0.9023252521469052,25,distance,cityblock,,
std + knr,125.69454994578004,0.889532201544279,25,distance,nan_euclidean,,
std + knr,175.50375419479815,0.8457569293579046,25,uniform,cosine,,
std + knr,176.56689323777567,0.8448225799403626,25,uniform,euclidean,,
std + knr,160.6805493885526,0.8587844377241031,25,uniform,cityblock,,
std + knr,176.97879585811313,0.8444605755760807,25,uniform,nan_euclidean,,
std + knr,107.34334148834316,0.9056603280077536,35,distance,cosine,,
std + knr,133.31325552240432,0.8828364328534722,35,distance,euclidean,,
std + knr,116.9978371646472,0.8971753866716207,35,distance,cityblock,,
std + knr,133.53556002640596,0.8826410585181933,35,distance,nan_euclidean,,
std + knr,194.2664554260148,0.8292671587275231,35,uniform,cosine,,
std + knr,194.7916450030831,0.8288055910909338,35,uniform,euclidean,,
