tag,MSE,R2,random_forest__max_samples,random_forest__criterion,random_forest__n_estimators,random_forest__max_depth,random_forest__max_features,pca__n_components,high_corr_features_remover__corr_threshold,random_forest__max_leaf_nodes,features_remover__corr_threshold,random_forest__ccp_alpha
random_forest,83.78632636383226,0.9263636250092177,0.66,squared_error,200,25,0.4,,,,,
minmax + random_forest,83.27310322693059,0.9268146758310276,0.66,squared_error,200,25,0.4,,,,,
minmax + pca + random_forest,100.41475487299702,0.911749579372568,0.66,squared_error,200,25,0.4,0.95,,,,
high_corr_features_remover + minmax + pca + random_forest,101.15455711924432,0.9110993974396936,0.66,squared_error,200,25,0.4,0.95,0.95,,,
std + random_forest,83.23014953699142,0.9268524260721094,0.66,squared_error,200,25,0.4,,,,,
std + pca + random_forest,102.93481565251012,0.9095348010356592,0.66,squared_error,200,25,0.4,0.95,,,,
high_corr_features_remover + std + pca + random_forest,99.68086773090506,0.9123945627623556,0.66,squared_error,200,25,0.4,0.95,0.95,,,
l1 + random_forest,87.9671866558733,0.9226892379151715,0.66,squared_error,200,25,0.4,,,,,
minmax + l1 + random_forest,88.75884017003341,0.9219934860238864,0.66,squared_error,200,25,0.4,,,,,
minmax + lmax + random_forest,84.1039737653879,0.9260844577012464,0.66,squared_error,200,25,0.4,,,,,
random_forest,83.78632636383226,0.9263636250092177,0.66,squared_error,200,25,0.4,,,'None',,
minmax + random_forest,83.27310322693059,0.9268146758310276,0.66,squared_error,200,25,0.4,,,'None',,
minmax + pca + random_forest,100.41475487299702,0.911749579372568,0.66,squared_error,200,25,0.4,0.95,,'None',,
high_corr_features_remover + minmax + pca + random_forest,101.15455711924434,0.9110993974396936,0.66,squared_error,200,25,0.4,0.95,0.95,'None',,
std + random_forest,83.23014953699142,0.9268524260721094,0.66,squared_error,200,25,0.4,,,'None',,
std + pca + random_forest,102.93481565251012,0.9095348010356592,0.66,squared_error,200,25,0.4,0.95,,'None',,
high_corr_features_remover + std + pca + random_forest,99.68086773090508,0.9123945627623556,0.66,squared_error,200,25,0.4,0.95,0.95,'None',,
minmax + l1 + random_forest,88.75884017003341,0.9219934860238864,0.66,squared_error,200,25,0.4,,,'None',,
lmax + random_forest,83.3482757865571,0.9267486097432792,0.66,squared_error,200,25,0.4,,,'None',,
high_corr_features_remover + minmax + l1 + random_forest,87.94455061272325,0.9227091318075766,0.66,squared_error,200,25,0.4,,0.95,'None',,
high_corr_features_remover + minmax + l1 + random_forest,87.94455061272325,0.9227091318075766,0.66,squared_error,200,25,0.4,,0.95,,,
lmax + random_forest,83.3482757865571,0.9267486097432792,0.66,squared_error,200,25,0.4,,,,,
random_forest,83.81831576988426,0.926335510828754,0.66,squared_error,200,25,0.1,,,,,
random_forest,83.23795823144862,0.9268455633299628,0.66,squared_error,200,25,0.2,,,,,
random_forest,83.99110237688473,0.9261836557476372,0.66,squared_error,200,25,0.3,,,,,
random_forest,84.06515955561626,0.9261185699225328,0.66,squared_error,200,25,0.5,,,,,
random_forest,83.62377562342058,0.9265064842058844,0.66,squared_error,200,25,0.6,,,,,
random_forest,83.53248041601123,0.926586719829278,0.66,squared_error,200,25,0.7,,,,,
random_forest,84.1798073352798,0.926017810678614,0.66,squared_error,200,25,0.8,,,,,
random_forest,84.14867442788277,0.9260451721174444,0.66,squared_error,200,25,0.9,,,,,
minmax + random_forest,84.31208642076516,0.9259015560012108,0.66,squared_error,200,25,0.1,,,,,
minmax + random_forest,83.76286474708286,0.9263842444644896,0.66,squared_error,200,25,0.2,,,,,
minmax + random_forest,83.64194901832592,0.9264905123524784,0.66,squared_error,200,25,0.3,,,,,
minmax + random_forest,83.55402074180464,0.9265677889180376,0.66,squared_error,200,25,0.5,,,,,
minmax + random_forest,84.29937244723732,0.9259127297924836,0.66,squared_error,200,25,0.6,,,,,
minmax + random_forest,84.24084740737946,0.9259641650560684,0.66,squared_error,200,25,0.7,,,,,
minmax + random_forest,85.01154436081589,0.9252868310287826,0.66,squared_error,200,25,0.8,,,,,
minmax + random_forest,84.84320408092562,0.925434778414878,0.66,squared_error,200,25,0.9,,,,,
minmax + pca + random_forest,108.47219393625558,0.9046682257665982,0.66,squared_error,200,25,0.1,0.95,,,,
